year_month,bar_idx,direction,close,atr,ret_1b,dir_1b,ret_3b,dir_3b,ret_5b,dir_5b,ret_10b,dir_10b,ret_20b,dir_20b
2023-01,160,long,1196.34,0.1671,-0.00084,0,-0.04681,0,-0.06102,0,-0.05182,0,-0.00669,0
2023-01,162,long,1196.8,0.1814,-0.08523,0,-0.09943,0,-0.03426,0,-0.10445,0,-0.04596,0
2023-01,189,long,1197.0,0.185,0.00251,1,0.00585,1,0.06015,1,0.02673,1,0.41688,1
2023-01,238,short,1199.85,0.2336,-0.01667,0,-0.00583,0,-0.005,0,-0.0225,0,-0.06167,0
2023-01,274,long,1207.34,0.7071,0.44561,1,0.58973,1,0.52512,1,0.40751,1,0.41165,1
2023-01,275,long,1212.72,1.2943,0.26717,1,0.11709,1,0.0569,1,0.00082,1,-0.06927,0
2023-01,470,short,1213.97,0.3236,-0.01236,0,0.02224,1,-0.01812,0,-0.00082,0,-0.11368,0
2023-01,559,short,1213.31,0.2179,0.01978,1,0.04945,1,0.10797,1,0.07006,1,0.03626,1
2023-01,564,short,1212.0,0.3364,-0.04455,0,-0.06106,0,-0.03795,0,-0.16172,0,-0.12294,0
2023-01,638,long,1211.4,0.3871,-0.00083,0,-0.03054,0,-0.07595,0,0.00825,1,-0.14611,0
2023-01,698,short,1207.39,0.4757,0.00414,1,-0.00414,0,-0.07454,0,-0.15074,0,-0.10767,0
2023-01,746,short,1206.67,0.2921,-0.03232,0,-0.0547,0,-0.07376,0,-0.05221,0,-0.02735,0
2023-01,819,long,1254.23,0.7057,-0.01993,0,0.15866,1,-0.1762,0,-0.34603,0,-0.33726,0
2023-01,905,long,1251.44,0.18,0.02637,1,0.02317,1,-0.0024,0,-0.14224,0,-0.13744,0
2023-01,906,long,1251.77,0.1993,0.00719,1,-0.01518,0,-0.07909,0,-0.1422,0,-0.15818,0
2023-01,934,short,1249.38,0.1243,-0.008,0,-0.03442,0,-0.02321,0,-0.04482,0,-0.02481,0
2023-01,1084,short,1253.77,0.3221,0.0662,1,0.01914,1,0.01914,1,0.03031,1,-0.01914,0
2023-01,1231,short,1247.23,0.1829,0.00962,1,0.00802,1,0.01684,1,0.00481,1,-0.06094,0
2023-01,1232,short,1247.11,0.1757,-0.0016,0,0.00481,1,0.01203,1,0.01042,1,-0.06254,0
2023-01,1260,long,1249.8,0.3643,0.0152,1,-0.004,0,-0.0008,0,0.05201,1,0.06561,1
2023-01,1267,long,1250.92,0.4586,0.01039,1,-0.03757,0,0.0056,1,-0.05436,0,-0.01759,0
2023-01,1268,long,1251.05,0.52,-0.0048,0,-0.04236,0,-0.01439,0,-0.06395,0,0.01199,1
2023-01,1322,long,1253.48,0.2864,-0.02712,0,-0.08935,0,-0.08377,0,-0.09733,0,0.02154,1
2023-01,1336,long,1253.57,0.32,0.01595,1,-0.00479,0,0.00558,1,0.02792,1,0.05584,1
2023-01,1426,short,1248.32,0.1129,0.0016,1,0.00721,1,0.00801,1,-0.02884,0,0.0024,1
2023-01,1447,short,1248.0,0.1071,-0.00481,0,0.00641,1,0.04006,1,0.10016,1,0.41266,1
2023-01,1453,short,1246.26,0.2121,-0.03771,0,-0.04413,0,0.01605,1,-0.01525,0,0.12598,1
2023-01,1465,short,1244.91,0.6564,0.03133,1,0.08756,1,0.06105,1,0.05623,1,0.18556,1
2023-01,1537,short,1241.84,0.26,-0.00322,0,-0.00242,0,-0.04429,0,-0.0306,0,-0.12401,0
2023-01,1570,long,1244.29,0.3164,-0.00884,0,-0.01125,0,0.01286,1,-0.05626,0,-0.22664,0
2023-01,1672,short,1265.29,0.1629,-0.02608,0,-0.07982,0,-0.08536,0,-0.07666,0,-0.04031,0
2023-01,1716,short,1263.98,0.1993,-0.03956,0,-0.03877,0,-0.04747,0,-0.01582,0,-0.03718,0
2023-01,1923,short,1263.29,0.1286,-0.00633,0,-0.00079,0,0.03483,1,-0.00792,0,0.00158,1
2023-01,1938,short,1262.43,0.2271,-0.0103,0,-0.09743,0,-0.06654,0,-0.07288,0,-0.10139,0
2023-01,1990,short,1261.51,0.2307,-0.0436,0,-0.04756,0,-0.03409,0,0.03329,1,0.00238,1
2023-01,2000,short,1261.09,0.3521,0.00317,1,-0.02775,0,-0.03886,0,-0.03093,0,-0.07137,0
2023-01,2031,long,1262.15,0.0979,0.00079,1,0.00555,1,0.00555,1,-0.01347,0,-0.01109,0
2023-01,2125,long,1263.68,0.1079,0.00079,1,-0.01345,0,-0.0095,0,0.00475,1,0.03482,1
2023-01,2139,long,1264.25,0.1036,0.00395,1,0.00949,1,-0.01028,0,-0.02768,0,0.0,0
2023-01,2160,long,1264.65,0.1421,-0.0253,0,-0.02293,0,-0.02293,0,0.02372,1,0.12098,1
2023-01,2168,long,1265.25,0.2329,-0.0332,0,-0.03161,0,-0.03161,0,0.03715,1,-0.05691,0
2023-01,2174,long,1265.27,0.2636,0.02529,1,0.02608,1,0.04584,1,-0.05295,0,-0.04347,0
2023-01,2267,short,1309.45,0.485,0.01222,1,0.02367,1,0.0168,1,0.12448,1,0.12219,1
2023-01,2277,short,1307.82,0.4393,0.00153,1,-0.00765,0,0.01453,1,-0.00229,0,-0.03441,0
