entry_time,symbol,side,v1_gross,v1_fees,v1_net,v1_exit,v1_tp1,v1_bars,v2_gross,v2_fees,v2_net,v2_exit,v2_tp1,v2_bars,delta_net
2026-05-29 14:07,BTCUSDT,short,22.201,15.9413,6.2597,TP3,True,1,22.4301,19.9212,2.509,TRAIL,True,2,-3.7507
2026-05-29 14:07,ETHUSDT,short,19.3197,17.9914,1.3283,TP2+STOP,True,5,14.0278,19.9902,-5.9623,TRAIL,True,1,-7.2906
2026-05-29 14:09,BTCUSDT,short,-21.9073,23.9715,-45.8788,STOP,False,1,-21.9073,23.9715,-45.8788,STOP,False,1,0.0
2026-05-29 14:52,BTCUSDT,long,10.767,19.9374,-9.1704,TP1+BESTOP,True,1,15.8523,19.9405,-4.0882,TRAIL,True,1,5.0822
2026-05-29 14:58,BTCUSDT,long,-36.9915,23.9327,-60.9242,STOP,False,2,-36.9915,23.9327,-60.9242,STOP,False,2,0.0
2026-05-29 15:05,BTCUSDT,long,3.8787,19.9362,-16.0575,TP1+BESTOP,True,1,5.7106,19.9373,-14.2267,TRAIL,True,1,1.8308
2026-05-29 15:06,ETHUSDT,long,41.9116,15.9874,25.9243,TP3,True,3,17.2214,19.9794,-2.758,TRAIL,True,1,-28.6823
2026-05-29 15:08,BTCUSDT,long,25.0747,15.9924,9.0823,TP3,True,1,32.0894,20.0007,12.0887,TRAIL,True,2,3.0064
2026-05-29 15:10,BTCUSDT,long,9.352,19.958,-10.6059,TP1+BESTOP,True,2,13.7689,19.9606,-6.1917,TRAIL,True,2,4.4142
2026-05-29 15:16,ETHUSDT,long,-24.8816,23.9612,-48.8427,STOP,False,1,-24.8816,23.9612,-48.8427,STOP,False,1,0.0
2026-05-29 15:31,ETHUSDT,long,34.755,15.9819,18.7731,TP3,True,2,50.5377,19.9951,30.5425,TRAIL,True,2,11.7694
2026-05-29 15:31,BTCUSDT,long,30.603,15.9439,14.6591,TP3,True,2,12.5747,19.9264,-7.3516,TRAIL,True,1,-22.0107
2026-05-29 15:34,BTCUSDT,long,11.5345,17.9872,-6.4527,TP2+STOP,True,1,8.3751,19.9859,-11.6109,TRAIL,True,1,-5.1582
2026-05-29 16:11,ETHUSDT,long,17.2387,17.9789,-0.7402,TP2+STOP,True,2,12.5168,19.9768,-7.46,TRAIL,True,1,-6.7198
2026-05-29 16:12,BTCUSDT,long,-23.6445,23.9463,-47.5907,STOP,False,4,-23.6445,23.9463,-47.5907,STOP,False,4,0.0
2026-05-29 16:25,ETHUSDT,short,11.2055,19.9664,-8.7609,TP1+BESTOP,True,1,16.4978,19.9632,-3.4654,TRAIL,True,1,5.2955
2026-05-29 16:25,BTCUSDT,short,9.1729,17.9487,-8.7758,TP2+STOP,True,2,6.6603,19.9429,-13.2825,TRAIL,True,2,-4.5067
2026-05-29 17:04,ETHUSDT,short,3.4956,19.9545,-16.4589,TP1+BESTOP,True,1,5.1465,19.9535,-14.807,TRAIL,True,1,1.6519
2026-05-29 20:21,ETHUSDT,long,6.6801,20.0,-13.3199,TP1+BESTOP,True,1,9.835,20.0019,-10.1668,TRAIL,True,1,3.1531
2026-05-29 20:54,ETHUSDT,short,7.3914,17.9901,-10.5987,TP2+STOP,True,4,5.3668,19.9889,-14.622,TRAIL,True,1,-4.0233
2026-05-29 21:51,ETHUSDT,short,-19.6292,23.9859,-43.6151,STOP,False,1,-19.6292,23.9859,-43.6151,STOP,False,1,0.0
2026-05-29 22:21,ETHUSDT,long,-17.781,23.9564,-41.7373,STOP,False,2,-17.781,23.9564,-41.7373,STOP,False,2,0.0
2026-05-29 23:14,ETHUSDT,short,-20.9653,23.9846,-44.9499,STOP,False,2,-20.9653,23.9846,-44.9499,STOP,False,2,0.0
2026-05-29 23:54,ETHUSDT,long,5.5019,19.9694,-14.4675,TP1+BESTOP,True,7,9.0393,19.9715,-10.9322,TRAIL,True,4,3.5353
