trade_num,entry_time,symbol,side,signal_entry,fill_price,entry_slippage,signal_stop,stop_B_recalc_signal,stop_C_recalc_fill,r_unit_signal,r_unit_fill,signal_tp1,signal_tp2,signal_tp3,tp1_r,tp2_r,tp3_r,tp1_hit_journal,tp2_hit_journal,tp3_hit_journal,mfe_r,has_candles,net_pnl,exit_reason,geometry_ok,stop_ok,tp_mfe_ok,error_count,warning_count,violation_details
3,2026-05-29 14:09,BTCUSDT,short,72868.6,72865.89625,-2.70375,72945.85,72945.85,72943.14625,77.25,79.95375,72817.1,72765.6,72714.1,0.6667,1.3333,2.0,False,False,False,4.87,True,-46.4268,STOP_HIT,True,False,False,3,1,[WARNING:STOP_MISMATCH] StopA=72945.850000 StopC(from fill)=72943.146250 diff=2.703750 expected_slip_component=4.055625 | [ERROR:TP_MFE_CONSISTENCY] MFE=4.870R > TP1_R=0.667R but TP1 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=4.870R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=4.870R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
3,2026-05-29 14:07,ETHUSDT,short,1991.32,1995.4846249999998,4.164625,1994.5707142857143,1994.570714,1998.735339,3.250714,0.913911,1989.152857142857,1986.9857142857143,1984.8185714285714,0.6667,1.3333,2.0,True,True,False,21.747,True,9.7624,FORCE_CLOSE,False,False,False,2,2,[ERROR:GEOMETRY] SHORT fill=1995.4846 >= stop=1994.5707 (filled past stop) | [WARNING:STOP_MISMATCH] StopA=1994.570714 StopC(from fill)=1998.735339 diff=4.164625 expected_slip_component=6.246937 | [WARNING:SLIPPAGE_ANOMALY] Entry slippage changed risk R by 71.9%: r_signal=3.2507 r_fill=0.9139 slip=+4.1646 | [ERROR:TP_MFE_CONSISTENCY] MFE=21.747R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
4,2026-05-29 14:52,BTCUSDT,long,73018.6,73022.970625,4.370625,72893.725,72893.725,72898.095625,124.875,129.245625,73101.85,73185.1,73268.35,0.6667,1.3333,2.0,True,False,False,9.78,True,-9.1704,STOP_HIT,True,False,False,2,1,[WARNING:STOP_MISMATCH] StopA=72893.725000 StopC(from fill)=72898.095625 diff=4.370625 expected_slip_component=6.555938 | [ERROR:TP_MFE_CONSISTENCY] MFE=9.780R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=9.780R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
5,2026-05-29 14:58,BTCUSDT,long,73117.9,73122.482125,4.582125,72986.98214285713,72986.982143,72991.564268,130.917857,135.499982,73205.17857142857,73292.45714285714,73379.7357142857,0.6667,1.3333,2.0,False,False,False,8.594,True,-61.8485,STOP_HIT,True,False,False,3,1,[WARNING:STOP_MISMATCH] StopA=72986.982143 StopC(from fill)=72991.564268 diff=4.582125 expected_slip_component=6.873187 | [ERROR:TP_MFE_CONSISTENCY] MFE=8.594R > TP1_R=0.667R but TP1 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=8.594R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=8.594R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
7,2026-05-29 15:05,BTCUSDT,long,73290.4,73291.98025,1.58025,73245.25,73245.25,73246.83025,45.15,46.73025,73320.5,73350.59999999999,73380.7,0.6667,1.3333,2.0,True,True,False,21.293,True,-10.0786,STOP_HIT,True,False,False,1,1,[WARNING:STOP_MISMATCH] StopA=73245.250000 StopC(from fill)=73246.830250 diff=1.580250 expected_slip_component=2.370375 | [ERROR:TP_MFE_CONSISTENCY] MFE=21.293R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
9,2026-05-29 15:10,BTCUSDT,long,73634.9,73638.72425,3.82425,73525.63571428572,73525.635714,73529.459964,109.264286,113.088536,73707.74285714285,73780.58571428571,73853.42857142857,0.6667,1.3333,2.0,True,False,False,5.732,True,-10.6059,STOP_HIT,True,False,False,2,1,[WARNING:STOP_MISMATCH] StopA=73525.635714 StopC(from fill)=73529.459964 diff=3.824250 expected_slip_component=5.736375 | [ERROR:TP_MFE_CONSISTENCY] MFE=5.732R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=5.732R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
10,2026-05-29 15:16,ETHUSDT,long,2022.19,2022.2751625,0.085163,2019.7567857142858,2019.756785,2019.841948,2.433214,2.518377,2023.8121428571428,2025.4342857142858,2027.0564285714286,0.6667,1.3333,2.0,False,False,False,9.345,True,-49.4644,STOP_HIT,True,False,False,3,1,[WARNING:STOP_MISMATCH] StopA=2019.756786 StopC(from fill)=2019.841948 diff=0.085162 expected_slip_component=0.127745 | [ERROR:TP_MFE_CONSISTENCY] MFE=9.345R > TP1_R=0.667R but TP1 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=9.345R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=9.345R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
13,2026-05-29 15:34,BTCUSDT,long,74009.5,74011.83475,2.33475,73942.79285714286,73942.792857,73945.127606,66.707143,69.041893,74053.97142857143,74098.44285714286,74142.91428571429,0.6667,1.3333,2.0,True,False,False,3.985,True,-14.2959,STOP_HIT,True,False,False,2,1,[WARNING:STOP_MISMATCH] StopA=73942.792857 StopC(from fill)=73945.127606 diff=2.334749 expected_slip_component=3.502125 | [ERROR:TP_MFE_CONSISTENCY] MFE=3.985R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=3.985R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
15,2026-05-29 16:11,ETHUSDT,long,2035.86,2035.9560374999999,0.096037,2033.1160714285713,2033.116071,2033.212108,2.743929,2.839966,2037.6892857142857,2039.5185714285715,2041.3478571428573,0.6667,1.3333,2.0,True,True,False,2.586,True,-0.7402,STOP_HIT,True,False,False,1,1,[WARNING:STOP_MISMATCH] StopA=2033.116071 StopC(from fill)=2033.212108 diff=0.096037 expected_slip_component=0.144056 | [ERROR:TP_MFE_CONSISTENCY] MFE=2.586R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
15,2026-05-29 16:12,BTCUSDT,long,73949.1,73952.061375,2.961375,73864.48928571428,73864.489286,73867.450661,84.610714,87.572089,74005.50714285715,74061.91428571429,74118.32142857143,0.6667,1.3333,2.0,False,False,False,3.825,True,-48.1815,STOP_HIT,True,False,False,3,1,[WARNING:STOP_MISMATCH] StopA=73864.489286 StopC(from fill)=73867.450661 diff=2.961375 expected_slip_component=4.442062 | [ERROR:TP_MFE_CONSISTENCY] MFE=3.825R > TP1_R=0.667R but TP1 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=3.825R > TP2_R=1.333R but TP2 NOT recorded as hit in journal | [ERROR:TP_MFE_CONSISTENCY] MFE=3.825R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
17,2026-05-29 16:25,BTCUSDT,short,73542.5,73598.050125,55.550125,73594.475,73594.475,73650.025125,51.975,3.575125,73507.85,73473.2,73438.54999999999,0.6667,1.3333,2.0,True,True,False,126.555,True,-8.7758,STOP_HIT,False,False,False,2,2,[ERROR:GEOMETRY] SHORT fill=73598.0501 >= stop=73594.4750 (filled past stop) | [WARNING:STOP_MISMATCH] StopA=73594.475000 StopC(from fill)=73650.025125 diff=55.550125 expected_slip_component=83.325187 | [WARNING:SLIPPAGE_ANOMALY] Entry slippage changed risk R by 93.1%: r_signal=51.9750 r_fill=3.5751 slip=+55.5501 | [ERROR:TP_MFE_CONSISTENCY] MFE=126.555R > TP3_R=2.000R but TP3 NOT recorded as hit in journal
